#query: tattoo - los angeles - 54
1.0 qid:36 1:1 2:1 3:0 4:0 5:0.8687928319
1.0 qid:36 1:2 2:0 3:0 4:2.4762354322 5:0.8159300089
1.0 qid:36 1:2 2:0 3:0 4:2.0431918705 5:0.7372471094
#query: nba - boston - 38
2.0 qid:38 1:68 2:1 3:0 4:1.9575283763 5:1.189156175
1.0 qid:38 1:23 2:0 3:1 4:3.2318265609 5:2.049434423
1.0 qid:38 1:13 2:0 3:1 4:3.0713837117 5:1.17702949
3.0 qid:38 1:7 2:1 3:0 4:1.1595888143 5:1.2876759768
1.0 qid:38 1:6 2:0 3:0 4:2.208054393 5:0.9928730726
1.0 qid:38 1:4 2:0 3:0 4:0.5004024235 5:2.2475488186
1.0 qid:38 1:3 2:0 3:1 4:2.5299764618 5:1.0632126331
1.0 qid:38 1:3 2:0 3:0 4:0.6931471806 5:1.7750954628
1.0 qid:38 1:2 2:0 3:1 4:1.3321790402 5:1.5689775944
1.0 qid:38 1:3 2:0 3:0 4:2.7414690769 5:1.5276348591
1.0 qid:38 1:3 2:0 3:0 4:1.7201934592 5:1.2914924622
#query: beer - boston - 30
2.0 qid:30 1:696 2:1 3:1 4:1.8178336509 5:1.04578304
3.0 qid:30 1:30 2:1 3:1 4:3.6751537203 5:1.126949787
2.0 qid:30 1:10 2:1 3:0 4:1.8828976257 5:1.059019923
3.0 qid:30 1:5 2:1 3:1 4:0 5:1.3843419552
2.0 qid:30 1:5 2:0 3:1 4:0.4505612089 5:2.2413916588
3.0 qid:30 1:4 2:1 3:1 4:2.9311266828 5:1.4174054861
3.0 qid:30 1:6 2:0 3:0 4:1.0888999753 5:1.4156399965
3.0 qid:30 1:5 2:0 3:1 4:1.856398613 5:1.1585595608
2.0 qid:30 1:5 2:0 3:1 4:2.1074262457 5:1.0134646893
3.0 qid:30 1:3 2:1 3:1 4:1.4750763111 5:0.9888803959
2.0 qid:30 1:4 2:0 3:1 4:0.4775907951 5:0.9456779361
#query: beer - miami - 24
